bugID,hour,week_day,month_day,month,year_day,component,title_size,platform,severity,priority,cc_count,comment_size,invalid_status,is_closed,patch_count,fixing_time,reopened_count,triaging_time,uptime,developer_count,reporter_exp,assignee_exp,region
303821,15,Sun,7,Aug,219,119,8,All,critical,--,37,73,YES,1,2,384,1,925.58,264.0,30,10,1,isolated
303901,8,Mon,8,Aug,220,498,8,x86,critical,P1,14,157,YES,1,2,16858,0,687.24,1238.0,17,1,2,isolated
303924,12,Mon,8,Aug,220,75,6,x86,critical,P5,4,567,YES,1,0,58825,0,-1,449.0,4,11,1,isolated
305181,2,Fri,19,Aug,231,150,10,All,critical,P1,11,136,NO,1,3,305,0,-1,731.0,19,1,4,isolated
305995,17,Thu,25,Aug,237,150,10,All,critical,--,6,160,NO,1,1,141,0,-1,411.0,16,1,3,moderate
306319,5,Mon,29,Aug,241,53,10,x86,critical,--,4,289,YES,1,0,47880,0,-1,9.0,8,2,9,skewed
306787,19,Thu,1,Sep,244,23,2,PowerPC,critical,--,2,100,YES,1,0,102,0,-1,269.0,3,2,10,moderate
306911,17,Fri,2,Sep,245,49,9,PowerPC,critical,--,10,134,NO,1,3,1936,0,31.02,77.0,9,3,10,isolated
307444,18,Wed,7,Sep,250,153,4,PowerPC,critical,--,5,166,NO,1,0,547,0,-1,160.0,8,4,5,isolated
307826,20,Fri,9,Sep,252,134,11,PowerPC,critical,--,12,167,NO,1,3,1344,0,-1,207.0,12,5,2,moderate
307989,1,Sun,11,Sep,254,200,11,PowerPC,critical,P1,7,176,NO,1,1,2299,0,95.7,85.0,14,6,11,isolated
308086,18,Sun,11,Sep,254,13,16,x86,critical,--,10,99,NO,1,1,2809,0,97.01,476.0,14,1,3,isolated
308752,18,Thu,15,Sep,258,16,6,PowerPC,critical,--,6,181,NO,1,2,309,1,-1,2984.0,11,7,3,isolated
308770,22,Thu,15,Sep,258,113,26,x86,critical,P5,2,156,NO,1,0,48439,0,-1,289.0,4,12,11,isolated
309120,23,Sun,18,Sep,261,134,10,PowerPC,critical,--,5,128,NO,1,3,2567,0,-1,226.0,13,8,3,moderate
309298,5,Tue,20,Sep,263,277,20,x86,critical,--,5,280,YES,1,0,44615,0,-1,113.0,6,2,12,isolated
310267,21,Tue,27,Sep,270,297,5,All,critical,--,7,175,NO,1,4,3531,0,26.25,218.0,16,9,1,moderate
311161,21,Tue,4,Oct,277,111,10,All,critical,P1,7,158,YES,1,0,235,0,0.83,69.0,6,10,5,skewed
311661,6,Sat,8,Oct,281,16,9,x86,critical,--,7,50,NO,1,7,97,0,-1,2787.0,11,7,4,isolated
313086,21,Wed,19,Oct,292,23,5,PowerPC,critical,--,5,172,NO,1,3,14,0,0.6,269.0,8,11,1,moderate
315286,9,Sun,6,Nov,310,6,4,All,critical,P1,12,129,NO,1,2,2138,0,46.01,291.0,21,2,2,moderate
315304,12,Sun,6,Nov,310,37,3,x86,normal,--,1,115,NO,1,2,23,0,0.86,19.0,9,3,2,isolated
320489,21,Thu,15,Dec,349,150,3,All,critical,--,7,130,NO,1,1,496,0,-1,411.0,8,1,4,moderate
320593,16,Fri,16,Dec,350,31,12,x86,critical,--,2,537,NO,1,0,40082,0,-1,119.0,5,1,13,moderate
322759,11,Sun,8,Jan,8,23,15,All,critical,--,8,137,NO,1,0,8032,0,-1,22.0,9,1,14,isolated
325730,4,Fri,3,Feb,34,7,7,All,critical,--,6,152,NO,1,7,826,0,-1,8.0,9,12,2,isolated
327695,22,Fri,17,Feb,48,7,6,All,critical,P1,5,109,NO,1,1,116,0,3.87,552.0,5,13,3,isolated
331446,2,Thu,23,Mar,82,23,7,All,critical,--,7,116,NO,1,0,2138,0,-1,207.0,9,14,15,moderate
332971,3,Thu,6,Apr,96,7,9,All,critical,P1,9,84,NO,1,2,38,0,1.56,589.0,12,2,4,isolated
333050,14,Thu,6,Apr,96,150,13,x86,critical,--,15,1333,YES,1,0,49052,0,-1,297.5,18,4,16,isolated
334080,19,Fri,14,Apr,104,7,9,All,critical,P1,3,50,NO,1,1,5,0,0.01,269.0,9,5,12,moderate
334515,11,Tue,18,Apr,108,9,15,x86,critical,--,21,112,NO,1,7,198,0,-1,403.0,27,1,3,high
335896,20,Fri,28,Apr,118,7,16,PowerPC,critical,P1,16,160,NO,1,0,13938,0,-1,160.0,13,15,4,isolated
338129,5,Tue,16,May,136,9,13,x86,critical,--,10,52,NO,1,4,714,0,6.06,403.0,12,8,3,high
338288,5,Wed,17,May,137,7,24,All,critical,P1,10,160,NO,1,1,822,0,34.23,68.0,9,1,5,moderate
339165,16,Wed,24,May,144,16,9,x86,critical,--,3,109,YES,1,0,2923,1,-1,227.5,7,1,5,isolated
339315,2,Fri,26,May,146,16,6,PowerPC,critical,--,7,122,NO,1,3,0,1,11.42,227.5,10,16,6,isolated
339651,23,Mon,29,May,149,300,8,All,critical,--,5,151,NO,1,0,1904,0,-1,42.0,7,17,4,isolated
340733,16,Wed,7,Jun,158,23,15,x86,critical,--,15,125,NO,1,6,289,0,-1,64.0,12,18,6,isolated
341595,19,Wed,14,Jun,165,7,6,x86,critical,--,49,133,NO,1,4,1145,2,-1,2.0,47,1,6,isolated
343280,15,Fri,30,Jun,181,166,14,x86,critical,--,12,904,NO,0,0,-1,0,-1,53.5,12,1,17,isolated
343345,12,Sat,1,Jul,182,204,7,x86,critical,--,4,123,YES,1,0,29574,0,-1,552.0,6,1,18,isolated
343510,18,Mon,3,Jul,184,36,8,x86,critical,--,10,114,NO,1,2,5038,0,-1,350.0,10,9,5,isolated
