bug,entropy,frequency,version_cnt,up_time
633927,0.1890502912545209,962,13,9.0
676571,0.2202113543766923,24,4,162.5
669787,0.0,1,1,1907.0
536617,0.13747834103439163,26,8,39.5
760405,0.11751047586170903,3,2,2579.5
760407,0.1508722604103599,13,7,219.5
760406,0.21663424889086252,10,4,116.5
609244,0.12974649726061233,8,4,862.0
817290,0.24088479202539095,31,1,499.0
97444,0.06808323881004719,3,3,113.0
809784,0.3639948548966727,62,5,46.0
102936,0.15509653001836182,16,6,721.5
719113,0.2346090406371667,337,12,246.0
824474,0.5122775499136615,851,1,1171.0
655940,0.2286857957841219,7581,24,438.0
223144,0.0,1,1,16.0
146308,0.22700833390795144,34,6,98.5
802798,0.16095613448933566,10,4,91.0
803022,0.2272872641163988,145,7,1246.0
753731,0.0,1,1,12263.0
787017,0.12961625002087718,23177,9,4.0
673521,0.11751047586170903,3,3,525.0
754807,0.10515366659879356,12,6,213.5
809674,0.14072626668982924,17,6,8.0
762581,0.07198710779634435,5,1,7254.0
765678,0.1622918248049255,16195,24,2.0
608773,0.07414085557749277,2,1,351.0
199541,0.11121128336623914,4,3,10.0
689929,0.22759283870543978,31,8,42.0
736570,0.07842191451519229,26,1,4.5
780596,0.11246732823972391,173,11,6.0
810764,0.41356644660737285,61,2,6.5
795104,0.12672964793141941,1208,10,21.0
723659,0.11751047586170903,3,1,1303.0
644542,0.23048130477283696,20,8,119.5
595975,0.20306195555960643,59,4,144.0
391132,0.2117009495254364,12,6,69.0
757121,0.13338056101968768,19,3,43.0
823955,0.4791778034373099,168,3,342.0
627716,0.11121128336623914,4,3,860.5
743938,0.050620369251028405,6752,23,182.0
691976,0.0,1,1,19.0
809322,0.07868406815307696,8,3,175.0
628711,0.2040081407021172,12,6,236.5
663329,0.18127277761955785,50,8,3.5
698633,0.2100184996928403,131,8,9.0
588931,0.11751047586170903,3,2,3188.0
790743,0.6353817386039207,1194,6,232.0
798383,0.17890844126075994,11,1,68.0
408518,0.15567483039471713,41,11,226.0
682649,0.21873124662782098,14,5,447.5
603938,0.07414085557749277,2,2,68.5
749461,0.21812220804817192,29,9,389.0
265736,0.0,1,1,9604.0
728849,0.1757843056048342,10,1,114.5
179524,0.131493860671368,25,7,101.0
134769,0.0,4,3,4698.5
719373,0.23742950694353304,560,4,38.0
768364,0.0,3,1,364.0
752172,0.19238859682030407,11,1,1.0
757413,0.16472635965461943,261,9,92.0
752174,0.23911540734107375,5067,3,2153.0
673835,0.23114444325709554,232,12,95.0
774361,0.12020215064620712,15842,12,210.0
788482,0.23446489475570922,53,6,159.5
788480,0.0,149,10,17.0
619021,0.09279685733587809,6,5,472.0
521169,0.07414085557749277,2,1,498.5
352616,0.0,1,1,4.0
743119,0.2519045413039656,1454,15,35.0
718886,0.0,35,1,2.0
644796,0.11751047586170903,3,3,67.0
701396,0.16414885996046266,17455,17,5.0
156650,0.0,1,1,960.0
701399,0.1482817111549855,8,4,603.0
721390,0.2577284498972924,41,4,62.0
721394,0.056162533666106414,1385,14,158.0
746548,0.2698181396329489,512,1,6.0
756658,0.0,1,1,280.0
814736,0.08517559901363139,7,2,96.5
756655,0.0664762348244732,97,9,584.0
218556,0.271556063647802,649,15,403.0
751977,0.06808323881004719,3,3,2288.0
751973,0.0,2,1,1041.0
756652,0.00434175396305095,970,12,553.0
272286,0.0,1,1,2287.0
571976,0.17967597535242105,30,6,277.0
640473,0.11751047586170903,3,3,647.0
822686,0.14828171115498553,4,2,234.0
775982,0.2173443861064797,36,8,207.0
775981,0.10818247498251635,6,5,180.5
364007,0.0,1,1,1338.0
611171,0.07198710779634435,5,3,1536.0
306319,0.1890502912545209,962,13,9.0
689118,0.06808323881004719,3,2,848.0
804784,0.0,1,1,34.0
746896,0.16577349264389757,7,2,4927.0
672123,0.2506642465640098,67,11,202.0
725733,0.19022436549545987,36,11,125.5
599488,0.12514554519968324,15,5,514.0
749687,0.24440471496030539,63426,22,733.0
811389,0.07868406815307696,8,3,175.0
613950,0.21495763159960743,181,11,304.0
595740,0.19450976840169382,13,8,142.0
595743,0.0,1,1,227.0
738633,0.002655031066968544,265,10,7.0
738632,0.07414085557749277,8,2,860.0
696906,0.07414085557749277,2,1,4.5
738638,0.006987330735100261,309,11,7.0
