bugID,daily_crash,daily_user
616676,0.03,0.018
751139,0.004,0.002
763896,215.662,1.133
629120,0.708,0.187
763892,0.094,0.019
763891,34.298,1.248
751131,0.489,0.226
344557,0,0
537379,0,0
671916,0.03,0.023
706039,75.176,1.862
338129,0,0
590883,0.013,0.004
463560,0,0
795104,1.391,0.256
716302,19.049,0.928
782267,0.015,0.01
461053,0,0
799544,0.017,0.013
716304,1.334,0.285
606222,0.252,0.01
601678,0.029,0.004
588210,0.153,0.017
606225,0.02,0.003
120629,0,0
516427,0,0
642329,0.955,0.302
590088,0.0,0.0
503709,0,0
590083,0.106,0.013
634612,0,0
632756,3.286,0.607
350793,0,0
736220,0.001,0.001
811221,0.215,0.083
744175,0.403,0.166
515211,0,0
515217,0,0
625351,69.177,2.352
559234,46.951,0.437
678189,0.012,0.009
570715,4.264,0.132
653981,0.019,0.008
678181,6.731,0.954
562186,0,0
653980,0.047,0.019
167673,0,0
660850,0.017,0.01
679859,0.0,0.0
504392,0,0
741189,0.017,0.015
262468,0,0
366320,0,0
599860,36.026,0.256
611714,0,0
106097,0,0
809322,0.01,0.007
328184,0,0
786076,6.579,0.027
605998,0.085,0.061
722083,859.985,0.001
657137,0.018,0.018
795685,2.912,0.433
598732,0,0
553801,1.089,0.19
559456,0.029,0.029
742631,0.002,0.001
761946,0.0,0.0
761948,0.0,0.0
712940,0.258,0.072
604814,0.132,0.017
812822,5.061,0.521
616931,0.021,0.015
604818,8.038,0.372
667673,1.53,0.232
636052,0.0,0.0
806192,0.306,0.138
743767,0.063,0.011
564008,17.256,0.28
618234,0,0
560246,0,0
531856,0,0
528345,0,0
639885,0.046,0.016
466318,0,0
346014,0,0
715885,0.0,0.0
655241,0.0,0.0
545333,0.0,0.0
781272,1.374,0.38
516169,0,0
781279,11.547,0.939
658114,0,0
600152,1.041,0.004
600150,0.107,0.041
356325,0,0
571195,0,0
720232,0.722,0.271
600158,0.225,0.015
463350,0,0
720234,0.082,0.052
723029,0.399,0.143
648074,0.002,0.002
788741,0.109,0.039
798758,0.243,0.057
788291,2.291,0.408
814051,0.08,0.058
728030,0.008,0.005
518811,0,0
713300,0.0,0.0
347053,0,0
692050,0.056,0.005
516307,0,0
612890,0.04,0.009
645587,0,0
777914,0.0,0.0
756119,0.569,0.195
736250,2.323,0.452
525709,0,0
750983,0.0,0.0
767890,0.01,0.006
553581,117.103,0.628
594884,0.278,0.044
612768,7.487,0.556
606411,0,0
591547,0.013,0.013
606413,2.695,0.2
606414,1.02,0.105
606417,0.0,0.0
606416,4.678,0.617
606419,0.146,0.047
339315,0,0
614392,0.006,0.003
547230,0.64,0.08
783655,0.0,0.0
712302,0.508,0.191
750672,0.0,0.0
584447,1.657,0.093
757413,0.001,0.001
812225,4.142,0.514
783383,0.0,0.0
693892,0.012,0.009
504146,0,0
679986,0.0,0.0
59203,0,0
552697,0.0,0.0
647424,0.468,0.031
82401,0,0
782384,0.078,0.052
527567,0,0
819013,4.706,0.506
785766,12.117,0.207
760957,3.005,0.523
760955,0.001,0.001
631149,45.296,2.296
760952,2.948,0.487
812047,3.831,0.241
761021,0.001,0.001
563343,0.0,0.0
507788,0,0
536067,0,0
750180,9.431,0.922
744728,0.257,0.017
744727,8.287,0.589
799830,2.786,0.377
545692,0.0,0.0
545927,0.0,0.0
754600,0,0
786233,1.127,0.185
309897,0,0
706834,0.01,0.007
816765,1.7,0.394
734552,9.482,0.869
664200,0.002,0.002
481302,0,0
349463,0,0
605335,0.54,0.01
310267,0,0
558130,0.01,0.01
429648,0,0
801336,0.035,0.029
418384,0,0
767706,0.493,0.06
609330,0.261,0.088
723612,33.767,1.362
714582,3.581,0.651
735977,29.975,1.522
596245,16.012,0.132
801624,3.605,0.483
596242,0.584,0.047
534473,0,0
803540,0.013,0.007
668924,0.238,0.141
662989,0.176,0.057
578066,7.005,0.124
329399,0,0
599637,0.082,0.034
530764,0,0
586806,0.085,0.018
469439,0,0
709613,1.899,0.256
616899,4.115,0.619
427524,0,0
